account_id,count
3107004707,145721
1885136097,127702
1182420765,109189
1930963735,106786
2556084666,86457
2825749549,86447
2218237463,80015
3588880037,75856
1679738229,66434
3160835472,39614
2572289529,38924
3460045657,38775
1726092502,36188
3268281442,35756
2006784588,33780
2332866739,32511
3323700682,32294
1472521227,30211
3204919764,28894
1940744914,28577
1042649422,28546
1535434860,27886
1159446966,27310
3427122786,25178
1580623074,24968
1546868176,24871
1564863614,23707
1523622166,23111
2586655089,22186
1349628246,21906
2503505695,21125
3114503962,21046
2052476145,20800
2274528512,20580
2767382583,18523
1508433173,18150
2137498891,17965
2886313243,17862
2535671999,16384
1343720878,16306
2258699569,16020
3067325302,15281
2250152298,14645
2491305602,13995
1432016051,13915
3532431198,13355
2183858588,13103
2323836529,13083
3510452741,12958
2579755541,12815
2466312316,12726
2444169700,12557
2687235612,11416
2801346262,11384
3440963756,11379
1391222596,11296
2770924099,11054
3510053603,10881
1533113376,10847
1090070239,10564
3638874880,10436
2776570753,10206
3278339418,10165
2613846731,10094
1993183156,10039
1060344496,9803
2693364910,9733
2057543448,9581
2620647174,9300
2337513705,8935
1992706316,8842
3413089311,8284
2045279260,8152
3532525653,7936
1039195759,7812
3160201220,7781
2156290818,7758
2960488056,7746
3358375302,7738
2763913489,7723
1390177517,7651
2475510222,7557
3553385692,7478
1801727489,7293
1080856206,7276
2700535070,7196
1284865934,7104
2063188250,7047
3591727857,7041
1203692337,6952
1707164139,6947
1928713789,6912
1734022259,6843
3284005009,6818
2136535137,6589
2781377099,6579
1771558198,6546
3115266959,6470
3542024494,6396
2941069015,6257
3007251101,6237
2815387873,6112
2169091269,6078
3581222319,6024
2588547287,6018
1098228173,6013
2330721645,5971
3383742192,5917
2055439325,5895
3445590944,5894
3058532131,5855
3095687425,5804
3450171228,5797
3029971965,5769
2043759903,5756
1284691625,5735
3477308331,5474
1176496394,5399
2236854397,5252
1101393012,5212
1711764976,5183
1756798422,5109
2348433783,5094
1103982939,5080
1457493251,5051
1575920911,5043
1743781501,5001
1051408466,4944
3439657003,4887
3138091410,4834
3656673677,4804
1321990278,4756
2487243186,4752
1293507338,4730
1196287614,4697
1113349846,4577
2143356854,4553
3054379649,4542
2868941558,4530
3581110282,4525
2499288902,4515
1568212690,4514
2447165209,4503
2555542492,4479
2890471642,4404
1490710246,4391
1651554074,4367
2640526226,4351
2824076951,4299
3541493755,4281
1132594916,4274
1750571445,4223
1500660239,4081
1291397550,4052
2310562804,4049
2609290949,4028
3487627920,4026
1080468838,4014
2596790949,4014
2485681822,3994
1327846065,3985
3359886394,3984
2421543173,3966
1080327015,3928
1870376054,3910
2076066534,3906
1882819035,3903
2324519231,3873
1935721357,3872
3593215179,3863
2516887233,3841
3277073803,3803
1799199170,3790
2234681885,3781
3648552961,3773
1895241515,3767
2628739842,3750
3352114010,3734
2586810690,3683
1998681871,3657
3082962668,3653
3697035765,3636
2879012517,3609
1089844158,3589
2984413518,3573
1520949521,3553
2053376355,3550
2331020384,3542
2993165562,3540
2919037987,3537
2839176581,3533
1310980268,3508
3441788220,3479
1428299235,3476
1934070917,3476
1368183598,3431
1094785247,3408
3073334299,3395
3628511443,3392
2875046491,3364
2538812780,3352
2807798455,3322
3191885456,3319
1989842999,3318
1772892480,3310
1777213736,3309
2100540563,3308
2133118799,3306
3245636991,3304
1498580932,3259
2377916004,3257
2493477494,3250
3687584587,3250
1867422987,3245
1393670108,3245
1424186258,3212
2533521107,3208
2260468663,3194
1151283578,3179
3152035588,3178
1454664326,3148
2982552800,3144
1557623432,3143
1496037996,3139
1738368003,3138
3151329952,3133
3114544736,3122
1583372782,3121
1599737834,3092
2388126768,3079
