account_id,days_logged_d3,level_d3,level_change_d3,avg_duration_d3,food_reduce_d3,wood_reduce_d3,stone_reduce_d3,diamond_reduce_d3,coins_reduce_d3,diamond_d3,gold_d3,is_pay_d3,is_league_d3,n_event_types_d3,country,platform,channel_id,duration,event_churned
180819,1,2,2,100.83333333333333,160.0,160.0,0.0,0.0,0.0,100.0,0.0,0,0,18,China,1.0,Google,1,1
1000164409,1,5,5,848.3561643835617,178815.0,175065.0,18000.0,0.0,0.0,600.0,0.0,0,0,50,Indonesia,1.0,Google,3,1
1002603880,2,4,4,442.69277845777236,17745.0,13995.0,0.0,0.0,0.0,300.0,0.0,0,0,37,Romania,2.0,AppStore,13,1
1004864636,1,2,2,35.49323017408124,170.0,170.0,0.0,0.0,0.0,100.0,0.0,0,0,30,Philippines,1.0,Google,1,1
1015406559,1,2,2,62.381909547738694,350.0,350.0,0.0,0.0,0.0,200.0,0.0,0,0,31,Thailand,1.0,Google,1,1
1017332366,1,2,2,30.47410358565737,160.0,160.0,0.0,0.0,0.0,100.0,0.0,0,0,31,Montenegro,1.0,Google,1,1
1017553857,1,0,0,0.9558823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17,United States,1.0,Google,1,1
1020256293,2,5,5,1339.4237633860275,190900.0,187100.0,36920.0,54.0,4750.0,691.0,0.0,0,0,56,Japan,2.0,AppStore,4,1
1023943728,2,5,5,1115.7245970567624,105405.0,78155.0,0.0,126.0,0.0,600.0,0.0,0,1,54,Brazil,2.0,AppStore,7,1
1024606223,1,3,3,394.99551569506724,37210.0,6210.0,0.0,0.0,0.0,300.0,0.0,0,1,25,Spain,2.0,AppStore,1,1
1024932779,1,2,2,45.55339805825243,160.0,160.0,0.0,0.0,0.0,100.0,0.0,0,0,30,Brazil,1.0,Google,1,1
1027650382,1,3,3,258.90985915492956,11290.0,11290.0,0.0,0.0,0.0,300.0,0.0,0,0,40,Indonesia,1.0,Google,1,1
1027831716,1,2,2,137.83018867924528,170.0,170.0,0.0,0.0,0.0,100.0,0.0,0,0,18,Viet Nam,2.0,AppStore,1,1
1031968410,1,2,2,36.27221172022684,160.0,160.0,0.0,0.0,0.0,100.0,0.0,0,0,31,Spain,1.0,Google,1,1
1032925591,1,0,0,2.216867469879518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,Serbia,1.0,Google,1,1
1033422986,1,2,2,61.38733431516937,190.0,190.0,0.0,0.0,0.0,150.0,0.0,0,0,34,Thailand,1.0,Google,1,1
1033703802,1,0,0,10.27027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,Viet Nam,1.0,Google,1,1
1034821728,1,3,3,118.975,5490.0,12490.0,0.0,0.0,0.0,300.0,0.0,0,1,40,Thailand,1.0,Google,2,1
1036997892,1,3,3,302.53911205073996,16780.0,1780.0,0.0,0.0,0.0,300.0,0.0,0,1,38,Thailand,2.0,AppStore,2,1
1039195759,1,5,5,1523.0835884874464,311260.0,308660.0,12000.0,210.0,0.0,1446.0,0.0,0,1,66,Philippines,1.0,Google,10,1
1042649422,2,12,12,22745.76155983782,42903065.0,43764005.0,32976146.0,9015.0,9142244.0,2157.0,34854.0,0,1,89,Viet Nam,1.0,Google,30,0
1044166248,1,4,4,552.9210383991347,46100.0,46100.0,0.0,0.0,0.0,400.0,0.0,0,0,49,Brazil,1.0,Google,4,1
1046634112,1,2,2,54.59803921568628,220.0,220.0,0.0,0.0,0.0,100.0,0.0,0,0,31,Philippines,1.0,Google,1,1
1048450570,1,3,3,377.4504950495049,13225.0,9475.0,0.0,0.0,0.0,300.0,0.0,0,1,40,Brazil,2.0,AppStore,2,1
1051408466,2,8,8,2852.8361633776963,3486855.0,3476105.0,2338910.0,1937.0,121760.0,255.0,0.0,0,1,66,Germany,1.0,Google,3,1
1055768010,1,2,2,48.15356489945155,440.0,440.0,0.0,0.0,0.0,100.0,0.0,0,0,31,Thailand,1.0,Google,1,1
1057985651,1,4,4,401.2661870503597,35555.0,61805.0,0.0,3.0,0.0,300.0,0.0,0,1,47,Philippines,2.0,AppStore,3,1
1058120214,1,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,Canada,2.0,AppStore,1,1
1060344496,1,10,10,5437.541229385307,9672835.0,9680645.0,7042126.0,1918.0,574834.0,162.0,11570.0,0,0,74,Brazil,1.0,Google,7,1
1065879331,1,5,5,951.8379530916844,327355.0,323605.0,0.0,788.0,0.0,354.0,0.0,0,0,61,Brazil,1.0,Google,8,1
1072974837,1,0,0,26.072727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,Italy,2.0,AppStore,1,1
1075040075,1,5,5,1119.6985901798737,142680.0,133580.0,18000.0,800.0,0.0,431.0,0.0,0,1,59,Viet Nam,1.0,Google,2,1
